name,price_regular,price_discount,rating,platforms,howlongtobeat,distribution_type,site,url,image_url
Heroes of Might and Magic® 4: Complete,9.99,4.99,92,PC,38.8,Digital,gog,https://www.gog.com/en/game/heroes_of_might_and_magic_4_complete,https://images.gog-statics.com/3549b565446a62a7aa085620de0de02d2d587df6bf9a0f3fe6b8445a4f63c525.jpg
Anno 1404: Gold Edition,14.99,7.49,97,PC,25.4,Digital,gog,https://www.gog.com/en/game/anno_1404_gold_edition,https://images.gog-statics.com/37083c95f959a69801aada2d765817592e7802111e04e924c61c7cd5cb605d63.jpg
DOOM (2016),19.99,3.99,80,PC,44.8,Digital,gog,https://www.gog.com/en/game/doom_2016,https://images.gog-statics.com/82a7cd303997644e10450fad1be3a3666f5cb0cfbc1fa44b38b429e607e64426.jpg
Rise of the Tomb Raider: 20 Year Celebration,29.99,4.49,91,PC,44.3,Digital,gog,https://www.gog.com/en/game/rise_of_the_tomb_raider_20_year_celebration,https://images.gog-statics.com/e85d21bec9cecb99ff0e2e63255b9d7b309344a14696a8380b5dd010cf93927d.jpg
Nox™,5.99,1.37,92,PC,34.3,Digital,gog,https://www.gog.com/en/game/nox,https://images.gog-statics.com/319f768899cd2190b977fc0b420ccb2169b375e14a43c3d88a4f2d740d1da6e7.jpg
Mafia Trilogy,59.99,11.99,92,PC,37.3,Digital,gog,https://www.gog.com/en/game/mafia_trilogy,https://images.gog-statics.com/b1d5e1605ef4c93efc5036f4dcb917e7da2c3a098d4023f4d16c187072c880f9.jpg
Kingdom Come: Deliverance Royal Edition,39.99,7.99,83,PC,43.0,Digital,gog,https://www.gog.com/en/game/kingdom_come_deliverance_royal_edition,https://images.gog-statics.com/5e94ea37d9b60f625402695a729688e8c408de76ce4d856d842c50684491eab4.jpg
EVERSPACE™,19.99,0.99,84,PC,29.2,Digital,gog,https://www.gog.com/en/game/everspace,https://images.gog-statics.com/e5aa16043bc1434164e51299695d6802909228943005f7c331bbe746db1845ac.jpg
Kingdom Come: Deliverance,29.99,5.99,81,PC,23.5,Digital,gog,https://www.gog.com/en/game/kingdom_come_deliverance,https://images.gog-statics.com/3d3a31a86183d7e6f9f31a160b7ee37810837746f0b64e0d3e8165bb38466894.jpg
Empire Earth Gold Edition,5.99,5.99,80,PC,41.7,Digital,gog,https://www.gog.com/en/game/empire_earth_gold_edition,https://images.gog-statics.com/df49f2b1be2f16ce1664b0653fd623223066cf80e9723cc86049185eea1fa0c9.jpg
Frostpunk: Game of the Year Edition,48.99,5.38,95,PC,18.2,Digital,gog,https://www.gog.com/en/game/frostpunk_game_of_the_year_edition,https://images.gog-statics.com/d11e79f5f4a12295974e03c039de49d6f9f82a8e9980627f5d8a339b910f4f6c.jpg
Fallout: New Vegas Ultimate Edition,19.99,9.99,99,PC,31.1,Digital,gog,https://www.gog.com/en/game/fallout_new_vegas_ultimate_edition,https://images.gog-statics.com/d18b14716866d6edda0361a30661f25a4e326698561e03d3b5ac1ce15d97e884.jpg
The Elder Scrolls III: Morrowind GOTY Edition,14.99,7.49,98,PC,73.8,Digital,gog,https://www.gog.com/en/game/the_elder_scrolls_iii_morrowind_goty_edition,https://images.gog-statics.com/408994da00dea6d8c398cdc0e0d419c386355441216f74573880155dbf4deb79.jpg
The Settlers® 2: Gold Edition,9.99,2.49,97,PC,22.1,Digital,gog,https://www.gog.com/en/game/the_settlers_2_gold_edition,https://images.gog-statics.com/df8399dd08c66cee193241b63a74cc8c786ab677f6ec3f2101eb96cb222e5d71.jpg
The Elder Scrolls V: Skyrim Anniversary Edition,49.99,16.49,95,PC,48.3,Digital,gog,https://www.gog.com/en/game/the_elder_scrolls_v_skyrim_anniversary_edition,https://images.gog-statics.com/16a042d9ad86c137414df42707c88a09339acc9b8dc495b9cd5fe895d6ec0af4.jpg
Kingdom Come: Deliverance II Royal Edition,79.99,51.99,87,PC,29.5,Digital,gog,https://www.gog.com/en/game/kingdom_come_deliverance_ii_royal_edition,https://images.gog-statics.com/326029a858e0e9add303ed2844ec5c460656e62fe4d70cf664868d46477d4f4c.jpg
Settlers® 3: Ultimate Collection,9.99,2.49,83,PC,26.6,Digital,gog,https://www.gog.com/en/game/the_settlers_3_ultimate_collection,https://images.gog-statics.com/4359ca2ce063d4c20fd75747b600101f19bd7ef98195a91ee15fd435d60a59f0.jpg
Baldur's Gate II: Enhanced Edition,19.99,9.99,86,PC,32.2,Digital,gog,https://www.gog.com/en/game/baldurs_gate_2_enhanced_edition,https://images.gog-statics.com/865e412024677b4594a91ea7cc3da75077ce8114adc26d5b92cb82c7f9b4509f.jpg
The Elder Scrolls V: Skyrim Special Edition,39.99,9.99,97,PC,97.2,Digital,gog,https://www.gog.com/en/game/the_elder_scrolls_v_skyrim_special_edition,https://images.gog-statics.com/7a75d49946cb5ff732f0a889f44dd49fb3bede3ad7212c84b7c34a6d29aeff77.jpg
Nobody Wants to Die,24.99,6.24,82,PC,41.8,Digital,gog,https://www.gog.com/en/game/nobody_wants_to_die,https://images.gog-statics.com/ebe168a9d74751cb16db933e2af557efb107f8301a493b41700a29e039b3a74c.jpg
Medal of Honor: Allied Assault War Chest,9.99,2.49,87,PC,20.8,Digital,gog,https://www.gog.com/en/game/medal_of_honor_allied_assault_war_chest,https://images.gog-statics.com/5c91eb2e789f75422df7dbd85964dddcd38d90102db901049c48882d1fce26a2.jpg
The Settlers® 2: 10th Anniversary,9.99,2.49,88,PC,44.9,Digital,gog,https://www.gog.com/en/game/the_settlers_2_10th_anniversary,https://images.gog-statics.com/1914e99f5b95875fa0616047ea0857762ef8360d9b55b3ae41ec933778200634.jpg
Vampire®: The Masquerade - Bloodlines™,19.99,19.99,89,PC,28.0,Digital,gog,https://www.gog.com/en/game/vampire_the_masquerade_bloodlines,https://images.gog-statics.com/8bbb356c33d8a97cd6ec70793c81aa29d55680f38e93688d61d69fe3fa831719.jpg
Sid Meier's Civilization® III Complete,5.99,1.19,90,PC,81.7,Digital,gog,https://www.gog.com/en/game/sid_meiers_civilization_iii_complete,https://images.gog-statics.com/65ca82dd9ec2282c864330530a3dfdf777f07759783ecddf9ed31e4560d11a2f.jpg
Baldur's Gate: Enhanced Edition,19.99,9.99,97,PC,30.4,Digital,gog,https://www.gog.com/en/game/baldurs_gate_enhanced_edition,https://images.gog-statics.com/90ba7463dae94110fd495957a6311648a6e1999bab1a0fcc2d5176b3f46141e8.jpg
World in Conflict: Complete Edition,9.99,2.49,93,PC,28.7,Digital,gog,https://www.gog.com/en/game/world_in_conflict_complete_edition,https://images.gog-statics.com/4829015ac0659f0ccd6ab212ed0fead101db794af571a093a33d73a11f870209.jpg
The Inner World,14.99,1.19,80,PC,35.2,Digital,gog,https://www.gog.com/en/game/the_inner_world,https://images.gog-statics.com/0aa917c241a298a96b31a5bcdf5929e3d5f37571907ca0f7106647e7695648e8.jpg
The Settlers® 4: Gold Edition,9.99,2.49,83,PC,44.6,Digital,gog,https://www.gog.com/en/game/the_settlers_4_gold_edition,https://images.gog-statics.com/ec17bc980b3f67c8318cb8b92807b42381b2061c076ecf12ca10d6b240bc311a.jpg
Songs of Conquest,29.99,8.99,89,PC,26.3,Digital,gog,https://www.gog.com/en/game/songs_of_conquest,https://images.gog-statics.com/10c897b2c5811a437a39e76f7719b4bf9cd4997e2e3e4816c9df2a6d468b8656.jpg
Disciples 2 Gold,9.99,1.99,81,PC,43.1,Digital,gog,https://www.gog.com/en/game/disciples_2_gold,https://images.gog-statics.com/d9b8ae836aac0727577107f49d9350fb23f059c4745f5df345062c941be738e1.jpg
Heroes of Might and Magic® 3: Complete,9.99,4.99,88,PC,36.8,Digital,gog,https://www.gog.com/en/game/heroes_of_might_and_magic_3_complete_edition,https://images.gog-statics.com/a18a7017bdca7bdd14fb003a46522e320051d3e9c1fb939559a4517d90f86170.jpg
Dragon Age™: Origins - Ultimate Edition,19.99,7.99,86,PC,39.2,Digital,gog,https://www.gog.com/en/game/dragon_age_origins,https://images.gog-statics.com/78485317312e881a175c686eaab8a988202b208942623acba641f35384f8dc12.jpg
Cyberpunk 2077: Phantom Liberty,29.99,29.99,93,PC,28.8,Digital,gog,https://www.gog.com/en/game/cyberpunk_2077_phantom_liberty,https://images.gog-statics.com/45a284386e693f1576b96d98a0023a7905d3956c6f9aa913d3fe5d09a5994bee.jpg
Sniper: Ghost Warrior,5.99,0.59,95,PC,35.1,Digital,gog,https://www.gog.com/en/game/sniper_ghost_warrior,https://images.gog-statics.com/d5525ae1ce5aaf97ddd32a7f57f84ccc9f010250122af691e045572a0d9fa571.jpg
SPORE™ Collection,29.99,9.89,82,PC,20.7,Digital,gog,https://www.gog.com/en/game/spore_collection,https://images.gog-statics.com/a844cf7a2a287621f4b18af0e0ce6b3372848ae716214b953ec4325678c0981e.jpg
RollerCoaster Tycoon® Deluxe,5.99,2.99,99,PC,30.6,Digital,gog,https://www.gog.com/en/game/rollercoaster_tycoon_deluxe,https://images.gog-statics.com/e3a43206b1f6d4d20f0a7a3f1fbd791da17c743f931ca9416064783d8ac2ff60.jpg
Neverwinter Nights: Enhanced Edition Digital Deluxe Edition,68.29,6.82,94,PC,19.9,Digital,gog,https://www.gog.com/en/game/neverwinter_nights_enhanced_edition_digital_deluxe_edition,https://images.gog-statics.com/3835cdf37b0927a05d44a7a7972d6828345afbc04f270914ab361350cbc2ad2d.jpg
Call of Cthulhu®,19.99,2.99,82,PC,41.4,Digital,gog,https://www.gog.com/en/game/call_of_cthulhu,https://images.gog-statics.com/17313f2ca09f07b7a8e63700834e248521dc0c4c5ccde786d4fbfd11216214de.jpg
Shadow of the Tomb Raider: Definitive Edition,39.6,7.92,99,PC,44.6,Digital,gog,https://www.gog.com/en/game/shadow_of_the_tomb_raider_definitive_edition,https://images.gog-statics.com/02b836f02d1fdb3a850efab0a82d81aab037d4089fbdd6f5a3d700f10f8aea40.jpg
This War of Mine: Complete Edition,27.17,2.71,86,PC,27.8,Digital,gog,https://www.gog.com/en/game/this_war_of_mine_complete_edition,https://images.gog-statics.com/dfd410aa604189754deea84fb56856c4895eed3ed96fa0ab04fbef1c1fd556a9.jpg
Crysis Remastered Trilogy,49.48,17.31,80,PC,44.3,Digital,gog,https://www.gog.com/en/game/crysis_remastered_trilogy,https://images.gog-statics.com/88a2478fa665c1f86aa74cf7ff07f85d1f5c01ae7c4bbb37f5cbbe9e8bfd09d8.jpg
Sacred 2 Remaster,19.99,17.99,98,PC,39.4,Digital,gog,https://www.gog.com/en/game/sacred_2_remaster,https://images.gog-statics.com/77a2426c4710a880bb82fedf0922b9439a1d4dfc2c3be53f8d3763b3fc55175f.jpg
Alpha Protocol,19.99,13.39,81,PC,32.8,Digital,gog,https://www.gog.com/en/game/alpha_protocol,https://images.gog-statics.com/cb36244ce87f2f7039cff892b54c54a733f2cdbd6404b73ecd8211e067d968d4.jpg
Chernobylite,29.99,5.99,85,PC,42.8,Digital,gog,https://www.gog.com/en/game/chernobylite,https://images.gog-statics.com/c24b41d74f631b5363f4ec70d8854f619d919fd7746b71221ad6b363d41999e4.jpg
Cyberpunk 2077: Ultimate Edition,79.99,79.99,84,PC,23.1,Digital,gog,https://www.gog.com/en/game/cyberpunk_2077_ultimate_edition,https://images.gog-statics.com/257b1513b1de9146a3e003b3766f14b0073f0152c4eddc01223dc3585ba50320.jpg
POSTAL 2: Paradise Lost,5.99,0.95,84,PC,30.3,Digital,gog,https://www.gog.com/en/game/postal_2_paradise_lost,https://images.gog-statics.com/40164c675831b9f65998967ca1f556588a78cffb14309097b50e41799fad461a.jpg
Sniper Ghost Warrior Contracts,29.99,2.99,96,PC,43.3,Digital,gog,https://www.gog.com/en/game/sniper_ghost_warrior_contracts,https://images.gog-statics.com/a097900bad23d791770b69decf3b47931101fc439e62afd6ea7be9fc4e039c5f.jpg
Deus Ex: Mankind Divided - Digital Deluxe Edition,44.99,6.74,86,PC,36.9,Digital,gog,https://www.gog.com/en/game/deus_ex_mankind_divided_deluxe_edition,https://images.gog-statics.com/6da1cdef18c2be446de1f62dec0aec879787d58a62703055c1a8a878af54e996.jpg
Brothers in Arms: Hell's Highway™,9.99,3.99,83,PC,36.2,Digital,gog,https://www.gog.com/en/game/brothers_in_arms_hells_highway,https://images.gog-statics.com/2c40ed9b5d199396d80153ad8c4e7200cfcfc23c0131650fec948420d6a95bba.jpg
Röki,19.99,1.99,87,PC,42.8,Digital,gog,https://www.gog.com/en/game/roki,https://images.gog-statics.com/8d41c9b8f7a8e55d2fc71c8389fef781ba7d4b60f6d451edee1bd3fffd378d5b.jpg
Electrician Simulator,17.99,1.79,89,PC,24.2,Digital,gog,https://www.gog.com/en/game/electrician_simulator,https://images.gog-statics.com/cb191824d082cb79481cfa74c48f799c1a4607e11924228a5c2df1bb054f069a.jpg
Torchlight II,19.99,3.99,84,PC,24.2,Digital,gog,https://www.gog.com/en/game/torchlight_ii,https://images.gog-statics.com/2b0e03ffd750eda573b9ea0b1d24e71e993423f5913619f323393de4df81608e.jpg
Kenshi,29.99,11.99,81,PC,23.8,Digital,gog,https://www.gog.com/en/game/kenshi,https://images.gog-statics.com/af0a8ea68e5df43d360179df04c815dd5887cbc23a2e2a5ddf1ac4112750eedf.jpg
Homeworld® Remastered Collection,34.99,3.49,81,PC,38.9,Digital,gog,https://www.gog.com/en/game/homeworld_remastered_collection,https://images.gog-statics.com/dce7a50009085fcaf3d7e6f1f52623b70de6f5118a065952b26c1c8e4c604d58.jpg
Sid Meier's Civilization IV®: The Complete Edition,29.99,5.99,96,PC,93.0,Digital,gog,https://www.gog.com/en/game/sid_meiers_civilization_iv_the_complete_edition,https://images.gog-statics.com/37ac843afc2b6d5f3b3b600483948cfc0f849a7c20a95adfcefe5c2b73caa4e7.jpg
Metro Franchise Bundle,59.47,9.51,97,PC,24.3,Digital,gog,https://www.gog.com/en/game/metro_franchise_bundle,https://images.gog-statics.com/f857dfaf6398976eeb4e768ee92b8d6c36504528dc2826c981ab43469f737c94.jpg
Empire Earth 2 Gold Edition,9.99,9.99,88,PC,19.1,Digital,gog,https://www.gog.com/en/game/empire_earth_2_gold,https://images.gog-statics.com/3a21d52fd60b3122d144714f32b58e905bac9d3d497f0e1bca46b89cc1bf2a49.jpg
The Elder Scrolls IV: Oblivion - Game of the Year Edition Deluxe,19.99,4.99,81,PC,76.1,Digital,gog,https://www.gog.com/en/game/elder_scrolls_iv_oblivion_game_of_the_year_edition_deluxe_the,https://images.gog-statics.com/437047af723933d9686fd99c53436f214bd615883298a885009e5056d0437815.jpg
Styx: Shards of Darkness,19.99,1.99,94,PC,32.2,Digital,gog,https://www.gog.com/en/game/styx_shards_of_darkness,https://images.gog-statics.com/11b4528bbb6454703c0a0ac95e711acce476f0b98cccd71d1fa744d9a4c671f3.jpg
SteamWorld Dig,9.99,0.89,90,PC,22.0,Digital,gog,https://www.gog.com/en/game/steamworld_dig,https://images.gog-statics.com/e5b50f88863f509aabea3a06ebe7a66b026b4d634291c205005c0b3c448500ec.jpg
I.G.I. 2: Covert Strike,9.99,2.49,89,PC,41.0,Digital,gog,https://www.gog.com/en/game/i_g_i_2_covert_strike,https://images.gog-statics.com/39ee4e983d71b4e4ffdda66b2469009799da02cacd6e6017c4dc11fedd667c38.jpg
Tzar: The Burden of the Crown,4.99,1.24,89,PC,22.3,Digital,gog,https://www.gog.com/en/game/tzar_the_burden_of_the_crown,https://images.gog-statics.com/e0618679363b68f5bd23f28e09e16d419e7b923c9ecd64b9d56e86d09740481f.jpg
Exclusivo GMG Juego 1,59.99,34.99,88,PC,45.1,Digital y físico,gmg,https://example.com/game/1,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 2,4.99,39.99,94,PC,37.4,Digital y físico,gmg,https://example.com/game/2,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 3,14.99,4.99,81,PC,20.4,Digital y físico,gmg,https://example.com/game/3,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 4,34.99,4.99,88,PC,41.3,Físico,gmg,https://example.com/game/4,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 5,34.99,44.99,97,PC,49.3,Físico,gmg,https://example.com/game/5,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 6,34.99,24.99,88,PC,16.9,Digital,gmg,https://example.com/game/6,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 7,34.99,14.99,95,PC,49.8,Digital y físico,gmg,https://example.com/game/7,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 8,44.99,19.99,84,PC,10.2,Digital y físico,gmg,https://example.com/game/8,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 9,39.99,24.99,84,PC,49.2,Físico,gmg,https://example.com/game/9,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 10,34.99,59.99,92,PC,42.2,Digital y físico,gmg,https://example.com/game/10,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 11,24.99,44.99,84,PC,48.1,Digital,gmg,https://example.com/game/11,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 12,29.99,14.99,85,PC,34.5,Digital,gmg,https://example.com/game/12,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 13,49.99,59.99,94,PC,37.0,Físico,gmg,https://example.com/game/13,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 14,24.99,9.99,86,PC,19.0,Digital,gmg,https://example.com/game/14,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 15,24.99,14.99,96,PC,11.7,Digital y físico,gmg,https://example.com/game/15,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 16,24.99,4.99,99,PC,22.1,Digital,gmg,https://example.com/game/16,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 17,49.99,44.99,80,PC,17.0,Digital,gmg,https://example.com/game/17,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 18,24.99,24.99,93,PC,47.6,Digital y físico,gmg,https://example.com/game/18,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 19,14.99,9.99,88,PC,11.1,Físico,gmg,https://example.com/game/19,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 20,59.99,14.99,99,PC,19.8,Digital,gmg,https://example.com/game/20,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 21,44.99,39.99,92,PC,40.9,Digital y físico,gmg,https://example.com/game/21,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 22,39.99,24.99,91,PC,29.4,Digital,gmg,https://example.com/game/22,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 23,34.99,29.99,90,PC,28.4,Digital y físico,gmg,https://example.com/game/23,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 24,19.99,49.99,98,PC,45.2,Físico,gmg,https://example.com/game/24,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 25,19.99,29.99,81,PC,45.4,Digital y físico,gmg,https://example.com/game/25,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 26,14.99,4.99,89,PC,15.3,Digital y físico,gmg,https://example.com/game/26,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 27,14.99,14.99,95,PC,16.6,Digital y físico,gmg,https://example.com/game/27,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 28,59.99,29.99,84,PC,41.8,Físico,gmg,https://example.com/game/28,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 29,24.99,59.99,88,PC,10.3,Digital y físico,gmg,https://example.com/game/29,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 30,59.99,59.99,92,PC,34.6,Digital,gmg,https://example.com/game/30,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 31,9.99,44.99,89,PC,27.7,Digital,gmg,https://example.com/game/31,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 32,39.99,9.99,95,PC,32.4,Físico,gmg,https://example.com/game/32,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 33,29.99,19.99,97,PC,17.9,Digital,gmg,https://example.com/game/33,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 34,49.99,39.99,97,PC,48.1,Físico,gmg,https://example.com/game/34,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 35,14.99,44.99,83,PC,11.3,Físico,gmg,https://example.com/game/35,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 36,29.99,19.99,97,PC,34.0,Digital,gmg,https://example.com/game/36,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 37,39.99,29.99,84,PC,40.5,Digital y físico,gmg,https://example.com/game/37,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 38,29.99,29.99,87,PC,12.8,Digital y físico,gmg,https://example.com/game/38,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 39,4.99,49.99,94,PC,32.4,Digital y físico,gmg,https://example.com/game/39,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 40,14.99,59.99,89,PC,12.0,Digital,gmg,https://example.com/game/40,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 41,24.99,29.99,91,PC,13.2,Físico,gmg,https://example.com/game/41,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 42,59.99,24.99,93,PC,41.2,Digital y físico,gmg,https://example.com/game/42,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 43,9.99,49.99,86,PC,31.9,Digital,gmg,https://example.com/game/43,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 44,24.99,29.99,82,PC,15.4,Físico,gmg,https://example.com/game/44,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 45,14.99,59.99,85,PC,48.0,Físico,gmg,https://example.com/game/45,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 46,9.99,29.99,82,PC,21.4,Digital y físico,gmg,https://example.com/game/46,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 47,39.99,14.99,94,PC,43.2,Digital y físico,gmg,https://example.com/game/47,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 48,4.99,39.99,93,PC,47.6,Digital y físico,gmg,https://example.com/game/48,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 49,44.99,29.99,99,PC,28.0,Digital,gmg,https://example.com/game/49,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
Exclusivo GMG Juego 50,14.99,59.99,80,PC,30.2,Digital y físico,gmg,https://example.com/game/50,https://via.placeholder.com/460x215/333333/ffffff?text=Juego
