name,price_regular,price_discount,rating,platforms,howlongtobeat,distribution_type,site,url,image_url
BALL x PIT,22.48,17.98,99,PC,37.0,Digital,steam,https://store.steampowered.com/app/2062430/BALL_x_PIT/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2062430/44a538f825381f4b58a82bab4cae1796be21fb88/capsule_616x353.jpg?t=1761935510
Counter-Strike 2,116.84,116.84,90,PC,33.8,Digital,steam,https://store.steampowered.com/app/730/CounterStrike_2/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/730/capsule_616x353.jpg?t=1749053861
theHunter: Call of the Wild™,29.84,29.84,93,PC,22.3,Digital,steam,https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/518790/155f34303686b7560b329ae3fe0c133b512a9ac7/capsule_616x353_alt_assets_22.jpg?t=1762167270
The Sims™ 4,59.97,59.97,92,PC,39.4,Digital,steam,https://store.steampowered.com/app/1222670/The_Sims_4/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1222670/capsule_616x353.jpg?t=1763056950
Rust,74.65,74.65,92,PC,42.0,Digital,steam,https://store.steampowered.com/app/252490/Rust/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/252490/c05e66e166b0fc5fc2a06711d7bfa1b4cb2f45f6/capsule_616x353.jpg?t=1761667247
Assetto Corsa Rally,29.99,23.99,80,PC,33.6,Digital,steam,https://store.steampowered.com/app/3917090/Assetto_Corsa_Rally/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3917090/71ea0e9d731013c3c81b249d33db393ff53b6045/capsule_616x353_alt_assets_0.jpg?t=1763053664
PowerWash Simulator 2,24.99,24.99,83,PC,41.1,Digital,steam,https://store.steampowered.com/app/2968420/PowerWash_Simulator_2/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2968420/374fc7a0419c7361cda3ae7fa6fe4e383f206e5d/capsule_616x353.jpg?t=1761725794
Team Fortress 2,116.84,116.84,85,PC,31.3,Digital,steam,https://store.steampowered.com/app/440/Team_Fortress_2/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/440/capsule_616x353.jpg?t=1757348372
EA SPORTS FC™ 26,111.98,111.98,88,PC,31.3,Digital,steam,https://store.steampowered.com/app/3405690/EA_SPORTS_FC_26/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3405690/7a4a2467300194840eb2116c2126c2d2422b4e12/capsule_616x353.jpg?t=1761904811
Digimon Story Time Stranger,69.99,69.99,92,PC,30.7,Digital,steam,https://store.steampowered.com/app/1984270/Digimon_Story_Time_Stranger/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1984270/86a9e0f67df177da7f74a01ad51a086c1b9ae3e0/capsule_616x353.jpg?t=1759485332
Guild Wars 2,99.97,99.97,85,PC,22.8,Digital,steam,https://store.steampowered.com/app/1284210/Guild_Wars_2/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1284210/9f7e5a2965f5bbf99cec82c798305a27967ac837/capsule_616x353.jpg?t=1761669967
Dota 2,116.84,116.84,92,PC,19.8,Digital,steam,https://store.steampowered.com/app/570/Dota_2/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/570/capsule_616x353.jpg?t=1762820658
Black Desert,9.99,0.99,97,PC,21.6,Digital,steam,https://store.steampowered.com/app/582660/Black_Desert/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/582660/af4dbaf8e712b209d17d37d4f63fabea1c6fbb3f/capsule_616x353.jpg?t=1758315448
Hearts of Iron IV,194.23,194.23,88,PC,23.9,Digital,steam,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/394360/capsule_616x353.jpg?t=1762197878
MIMESIS,9.99,9.99,87,PC,24.3,Digital,steam,https://store.steampowered.com/app/2827200/MIMESIS/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2827200/53c429fa056cf5008c3bb2f45e47431c9e738c4f/capsule_616x353.jpg?t=1762480368
Cities: Skylines II,41.76,41.76,81,PC,33.1,Digital,steam,https://store.steampowered.com/app/949230/Cities_Skylines_II/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/949230/331a5bcc257a69132f6502ad146984142e0d4aeb/capsule_616x353.jpg?t=1762794219
